fos,income,age,english_score,prev_gpa,sem1_gpa,sem2_gpa,sem3_gpa,sem4_gpa,sem1_pred,sem2_pred,sem3_pred,sem4_pred
Food Engineering and Bioprocess Technology,Upper middle income,U25,5,3.63,3.63,3.5,0.0,0.0,3.5,3.58,0.0,0.0
Telecommunications,Lower middle income,u37,5.3,3.5,2.88,2.83,3.5,2.63,3.16,3.13,3.39,3.2
Microelectronics,Upper middle income,u37,4.8,3.37,3.38,3.25,3.0,0.0,3.16,3.51,3.49,0.0
Environmental Engineering and Management,Lower middle income,U30,5.4,2.47,2.63,2.68,3.13,0.0,3.28,3.13,3.3,0.0
Structural Engineering,Upper middle income,U30,4.2,3.6,3.63,3.0,0.0,0.0,3.4,3.66,0.0,0.0
Industrial Engineering & Management,Lower middle income,U30,,3.5,3.0,3.25,3.25,0.0,3.16,3.16,3.4,0.0
Geotechnical and Geoenvironmental Engineering,Upper middle income,U30,5.6,3.34,3.88,3.62,0.0,0.0,3.48,3.79,0.0,0.0
ConstructionEngineering and Infrastructure Management,Upper middle income,U25,4.9,2.81,3.25,3.0,0.0,0.0,3.5,3.35,0.0,0.0
Telecommunications,Upper middle income,u37,5.3,2.29,3.0,3.0,4.0,4.0,3.16,3.21,3.39,3.48
Water Engineering and Management,Lower middle income,U30,5.6,2.86,3.31,3.38,4.0,0.0,3.21,3.52,3.59,0.0
Microelectronics,Upper middle income,U30,4.5,3.03,3.63,3.13,4.0,3.5,3.56,3.63,3.57,3.63
Telecommunications,Lower middle income,u37,5.3,2.5,3.0,2.88,3.13,0.0,3.17,3.17,3.31,0.0
Computer Science,Lower middle income,U30,,3.0,3.5,3.5,3.5,0.0,3.48,3.59,3.61,0.0
International Public Management,Lower middle income,U30,7,3.0,3.64,3.5,0.0,0.0,3.58,3.6,0.0,0.0
International Business - Management of Technology (BKK),High income,G45,,2.71,3.7,3.75,3.6,3.8,3.71,3.62,3.62,3.5
International Business,Lower middle income,u37,7,3.5,3.5,3.6,0.0,0.0,3.56,3.54,0.0,0.0
Agricultural Systems & Engineering,Low income,U30,5.8,3.5,3.63,3.87,0.0,0.0,3.67,3.68,0.0,0.0
Transportation Engineering,Upper middle income,U30,4.9,3.27,3.38,3.75,0.0,0.0,3.41,3.5,0.0,0.0
International Business,Upper middle income,U30,5.2,3.27,3.57,3.85,0.0,0.0,3.46,3.6,0.0,0.0
Information & Communications Technologies,Lower middle income,u37,4.5,3.0,3.13,3.38,3.5,3.5,3.17,3.21,3.56,3.2
Structural Engineering,Upper middle income,U25,4.9,3.71,4.0,3.75,0.0,0.0,3.5,3.77,0.0,0.0
Pulp and Paper Technology,Lower middle income,U30,5.5,3.64,3.42,3.33,0.0,0.0,3.5,3.56,0.0,0.0
Geotechnical and Geoenvironmental Engineering,Lower middle income,U25,5,3.0,3.0,3.5,3.0,0.0,3.16,3.16,3.57,0.0
Water Engineering and Management,Lower middle income,u37,5.2,2.42,3.31,3.5,4.0,0.0,3.4,3.51,3.52,0.0
Geotechnical and Geoenvironmental Engineering,Lower middle income,U30,,4.0,3.27,2.85,0.0,0.0,3.16,3.39,0.0,0.0
Geotechnical and Geoenvironmental Engineering,Lower middle income,U44,5.8,2.99,3.19,3.58,3.5,0.0,3.17,3.46,3.57,0.0
Water Engineering and Management,Low income,U30,,4.0,4.0,3.85,4.0,0.0,3.68,3.9,3.84,0.0
Gender and Development Studies,Low income,U44,5.2,3.5,3.28,3.86,0.0,0.0,3.57,3.54,0.0,0.0
Urban Environmental Management,Lower middle income,U25,5.5,3.0,3.43,3.25,0.0,0.0,3.62,3.54,0.0,0.0
International Business,Upper middle income,U30,5.8,3.17,3.71,3.79,3.67,0.0,3.59,3.64,3.63,0.0
Agricultural Systems & Engineering,Upper middle income,u37,,2.5,3.63,3.5,0.0,0.0,3.16,3.63,0.0,0.0
International Business - Management of Technology (VN),Lower middle income,u37,,3.0,3.17,3.5,3.65,0.0,3.54,3.44,3.37,0.0
International Business - Management of Technology (VN),Lower middle income,U44,,3.5,3.33,3.44,3.6,0.0,3.52,3.54,3.42,0.0
International Business - Management of Technology (VN),Lower middle income,u37,,3.0,3.5,3.81,3.5,0.0,3.56,3.58,3.45,0.0
International Business - Management of Technology (VN),Lower middle income,u37,,3.5,3.67,3.38,3.3,0.0,3.56,3.64,3.48,0.0
Urban Environmental Management,Lower middle income,U30,5,3.5,3.57,3.68,0.0,0.0,3.53,3.56,0.0,0.0
Energy,Lower middle income,u37,6,3.85,3.46,3.5,3.92,0.0,3.16,3.52,3.49,0.0
Gender and Development Studies,Lower middle income,u37,6,4.0,3.38,3.89,0.0,0.0,3.44,3.51,0.0,0.0
Geotechnical and Geoenvironmental Engineering,Lower middle income,U30,5.3,2.5,2.88,3.38,4.0,0.0,3.18,3.13,3.47,0.0
Water Engineering and Management,Lower middle income,u37,5.6,2.63,3.04,3.25,4.0,0.0,3.32,3.21,3.42,0.0
Computer Science,Lower middle income,u37,4.5,2.5,3.5,3.25,3.0,0.0,3.16,3.6,3.63,0.0
International Business - Management of Technology (VN),Lower middle income,U30,,3.0,4.0,3.69,3.33,0.0,3.6,3.77,3.57,0.0
International Business - Management of Technology (VN),Lower middle income,U44,,3.5,3.5,3.69,3.5,0.0,3.51,3.59,3.46,0.0
International Business - Management of Technology (VN),Lower middle income,u37,,2.52,3.83,3.69,3.8,0.0,3.49,3.7,3.46,0.0
International Business - Management of Technology (VN),Lower middle income,U44,,3.5,3.5,3.63,3.17,0.0,3.53,3.61,3.43,0.0
Urban Environmental Management,Lower middle income,U30,4.9,2.56,3.14,3.11,0.0,0.0,3.48,3.14,0.0,0.0
Structural Engineering,Low income,U30,6,4.0,3.25,3.75,0.0,0.0,3.49,3.46,0.0,0.0
Regional and Rural Development Planning,Lower middle income,u37,4.8,3.5,3.25,3.77,3.75,0.0,3.23,3.49,3.62,0.0
Structural Engineering,Low income,u37,,3.5,3.0,3.38,0.0,0.0,3.16,3.24,0.0,0.0
Natural Resources Management,Upper middle income,U30,5.3,3.25,3.42,3.5,0.0,0.0,3.58,3.55,0.0,0.0
Gender and Development Studies,Lower middle income,U30,3.8,2.92,2.89,3.21,0.0,0.0,3.19,3.13,0.0,0.0
Regional and Rural Development Planning,Lower middle income,u37,5.8,4.0,3.7,3.88,3.75,0.0,3.16,3.65,3.77,0.0
Urban Environmental Management,Lower middle income,u37,,2.88,3.89,3.89,0.0,0.0,3.41,3.77,0.0,0.0
International Business,Lower middle income,u37,5.6,3.0,3.64,3.21,0.0,0.0,3.42,3.63,0.0,0.0
International Business,Upper middle income,U30,5.3,3.21,3.21,3.64,0.0,0.0,3.42,3.39,0.0,0.0
Energy,Lower middle income,U25,,3.57,3.63,0.0,0.0,0.0,3.59,1.1,0.0,0.0
International Public Management,Lower middle income,U30,5.2,3.28,3.0,3.07,0.0,0.0,3.21,3.13,0.0,0.0
Urban Environmental Management,Lower middle income,u37,4.9,3.0,3.32,2.89,0.0,0.0,3.36,3.34,0.0,0.0
Energy,Upper middle income,U30,4.8,2.93,3.92,3.73,4.0,0.0,3.26,3.74,3.71,0.0
Environmental Engineering and Management,Lower middle income,U30,5.3,3.13,3.75,3.8,0.0,0.0,3.58,3.71,0.0,0.0
Natural Resources Management,Lower middle income,u37,5.4,2.98,3.54,3.61,0.0,0.0,3.53,3.6,0.0,0.0
ConstructionEngineering and Infrastructure Management,Lower middle income,U30,5.4,3.02,3.25,3.25,0.0,0.0,3.48,3.36,0.0,0.0
Water Engineering and Management,Lower middle income,u37,4.8,3.41,3.42,4.0,4.0,0.0,3.28,3.51,3.68,0.0
Human Resources Management,Lower middle income,U25,,3.5,3.5,3.0,3.36,0.0,3.48,3.54,3.43,0.0
Geotechnical and Geoenvironmental Engineering,Low income,U30,5.8,3.5,4.0,3.88,0.0,0.0,3.64,3.88,0.0,0.0
Urban Environmental Management,Lower middle income,U30,,3.31,3.5,0.0,0.0,0.0,3.55,0.99,0.0,0.0
Regional and Rural Development Planning,Lower middle income,u37,6,4.0,3.5,3.77,4.0,0.0,3.5,3.57,3.72,0.0
Environmental Engineering and Management,Lower middle income,U30,4.8,2.88,3.88,3.43,0.0,0.0,3.53,3.71,0.0,0.0
Transportation Engineering,Upper middle income,U25,5.2,2.7,3.17,3.0,3.5,0.0,3.46,3.37,3.44,0.0
International Business,Upper middle income,u37,4.9,3.14,2.79,3.33,3.5,0.0,3.16,3.19,3.37,0.0
Food Engineering and Bioprocess Technology,Upper middle income,U25,5.4,3.72,3.75,3.88,0.0,0.0,3.6,3.72,0.0,0.0
Telecommunications,Lower middle income,u37,5.5,2.5,3.25,3.63,3.38,0.0,3.17,3.5,3.49,0.0
Telecommunications,Lower middle income,u37,,3.0,3.13,3.25,3.5,3.17,3.16,3.26,3.51,3.2
Telecommunications,Upper middle income,U25,4.7,2.42,3.0,3.13,3.5,3.5,3.24,3.14,3.44,3.51
ConstructionEngineering and Infrastructure Management,Lower middle income,U30,5.7,3.5,3.25,3.0,0.0,0.0,3.24,3.27,0.0,0.0
Management of Technology,Upper middle income,U30,5.7,3.05,3.36,3.36,3.67,0.0,3.54,3.5,3.52,0.0
Aquaculture and Aquatic Resources Management,Lower middle income,U44,5.3,4.0,3.45,3.69,0.0,0.0,3.52,3.59,0.0,0.0
International Business,High income,U30,8.5,3.71,3.58,3.5,0.0,0.0,3.47,3.57,0.0,0.0
Environmental Engineering and Management,Lower middle income,U30,4.2,3.5,3.38,3.1,0.0,0.0,3.52,3.52,0.0,0.0
Natural Resources Management,Lower middle income,u37,4.8,3.14,2.62,3.0,0.0,0.0,3.2,3.13,0.0,0.0
Structural Engineering,Lower middle income,u37,,3.91,3.0,3.63,0.0,0.0,3.16,3.17,0.0,0.0
Management of Technology,Lower middle income,U30,6,3.16,3.71,3.7,0.0,0.0,3.62,3.65,0.0,0.0
Mechatronics,Lower middle income,U30,6.2,4.0,3.13,3.5,3.75,0.0,3.25,3.16,3.47,0.0
Industrial Engineering & Management,Lower middle income,U30,,3.43,3.88,3.75,4.0,0.0,3.59,3.73,3.8,0.0
Service Marketing and Technology,Lower middle income,U30,5.3,3.5,3.71,3.5,0.0,0.0,3.22,3.64,0.0,0.0
International Business - Management of Technology (BKK),Upper middle income,u37,,2.8,3.2,3.58,3.6,3.4,3.22,3.41,3.5,3.29
Telecommunications,Lower middle income,U30,5.5,2.5,2.88,3.0,3.0,3.17,3.16,3.16,3.34,3.2
Telecommunications,Lower middle income,u37,5.6,3.0,3.0,3.5,3.5,3.0,3.23,3.22,3.51,3.5
International Business,High income,U25,6.5,3.0,3.58,3.08,0.0,0.0,3.53,3.53,0.0,0.0
ConstructionEngineering and Infrastructure Management,Upper middle income,U30,4.9,2.86,3.0,3.25,0.0,0.0,3.3,3.16,0.0,0.0
International Business,Lower middle income,u37,6,2.74,2.64,3.1,3.33,4.0,3.47,3.13,3.32,3.2
Telecommunications,Lower middle income,U30,5.3,3.0,3.75,3.75,4.0,3.5,3.25,3.74,3.79,3.86
International Business,Upper middle income,U30,5.3,3.26,3.43,3.62,3.5,3.0,3.51,3.54,3.55,3.27
Environmental Engineering and Management,Lower middle income,u37,4.8,3.0,2.5,2.65,2.46,3.67,3.22,3.0,3.3,3.2
Energy,Low income,U25,7,3.42,3.95,3.92,4.0,0.0,3.95,3.88,3.9,0.0
International Business,Upper middle income,U30,5.2,3.3,3.36,3.71,0.0,0.0,3.33,3.53,0.0,0.0
Water Engineering and Management,Lower middle income,U30,5.4,3.5,3.04,2.88,4.0,0.0,3.43,3.17,3.38,0.0
Food Engineering and Bioprocess Technology,Upper middle income,U25,5.4,3.25,3.88,3.75,0.0,0.0,3.51,3.76,0.0,0.0
International Public Management,Lower middle income,U30,5.5,3.0,3.75,3.33,0.0,0.0,3.31,3.68,0.0,0.0
ConstructionEngineering and Infrastructure Management,Lower middle income,U25,5.5,2.76,3.38,3.5,0.0,0.0,3.54,3.54,0.0,0.0
Energy,Low income,U30,6,3.5,3.35,3.71,3.5,0.0,3.68,3.55,3.56,0.0
International Business,Upper middle income,U30,7,3.5,4.0,4.0,0.0,0.0,3.77,3.8,0.0,0.0
International Business - Management of Technology (VN),Lower middle income,U30,,3.0,3.5,3.88,3.75,0.0,3.6,3.57,3.47,0.0
International Business - Management of Technology (VN),Lower middle income,u37,,2.5,3.5,3.56,3.42,0.0,3.54,3.58,3.39,0.0
Water Engineering and Management,Lower middle income,U30,5.6,2.59,3.0,3.13,3.5,0.0,3.48,3.16,3.39,0.0
Remote Sensing and Geographic Information Systems,Lower middle income,U44,6,4.0,2.0,3.44,3.25,3.25,3.16,3.13,3.3,3.2
Industrial Engineering & Management,Upper middle income,u37,4.6,2.93,3.0,3.25,3.0,0.0,3.17,3.16,3.45,0.0
International Public Management,Lower middle income,U30,,2.5,3.5,3.29,0.0,0.0,3.54,3.54,0.0,0.0
International Business,Upper middle income,U44,5.8,3.0,3.79,3.43,0.0,0.0,3.52,3.68,0.0,0.0
Computer Science,Upper middle income,u37,6,3.25,2.75,3.38,3.5,0.0,3.16,3.15,3.47,0.0
Transportation Engineering,Lower middle income,u37,5.6,3.89,3.88,4.0,0.0,0.0,3.16,3.78,0.0,0.0
Computer Science,Upper middle income,U30,5.9,2.69,2.75,3.13,3.5,0.0,3.24,3.13,3.42,0.0
International Business,Upper middle income,U30,,2.87,3.21,3.42,3.5,0.0,3.54,3.3,3.52,0.0
Design and Manufacturing Engineering,Lower middle income,U30,7,4.0,3.5,3.83,3.5,0.0,3.51,3.62,3.73,0.0
Human Resources Management,Lower middle income,u37,,2.75,3.2,3.29,3.5,0.0,3.53,3.41,3.4,0.0
International Business,Upper middle income,U30,5.2,3.61,3.64,3.92,0.0,0.0,3.58,3.66,0.0,0.0
Management of Technology,Upper middle income,U30,5.5,3.34,3.57,3.71,3.67,0.0,3.6,3.66,3.69,0.0
Information Management,Upper middle income,U30,6,3.16,3.75,4.0,4.0,0.0,3.52,3.72,3.79,0.0
Structural Engineering,Upper middle income,U30,4.3,3.54,3.38,3.75,0.0,0.0,3.3,3.54,0.0,0.0
Food Engineering and Bioprocess Technology,Lower middle income,U30,,3.0,3.5,0.0,0.0,0.0,3.49,0.95,0.0,0.0
Structural Engineering,Lower middle income,U25,5.3,3.21,3.75,3.5,0.0,0.0,3.56,3.71,0.0,0.0
Environmental Engineering and Management,Low income,u37,5.2,3.0,3.7,3.25,0.0,0.0,3.51,3.69,0.0,0.0
Mechatronics,Lower middle income,u37,5.3,2.93,3.63,3.25,3.5,0.0,3.35,3.61,3.56,0.0
Energy,Lower middle income,U30,5,2.61,3.65,3.82,3.5,0.0,3.5,3.6,3.74,0.0
Computer Science,Lower middle income,U30,5.6,3.08,3.75,3.75,4.0,0.0,3.42,3.73,3.87,0.0
Service Marketing and Technology,Lower middle income,u37,5.7,2.66,3.5,3.29,0.0,0.0,3.54,3.51,0.0,0.0
Water Engineering and Management,Lower middle income,U44,5,2.0,2.54,3.0,3.5,0.0,3.16,3.09,3.31,0.0
Transportation Engineering,Lower middle income,U30,4.6,3.5,2.83,2.88,3.0,0.0,3.22,3.11,3.33,0.0
International Public Management,Lower middle income,U30,5,3.0,3.29,3.64,0.0,0.0,3.28,3.49,0.0,0.0
International Business - Management of Technology (BKK),Upper middle income,u37,,3.5,3.8,3.67,3.7,3.6,3.49,3.71,3.73,3.69
Computer Science,Lower middle income,U30,,3.0,3.5,3.38,4.0,0.0,3.51,3.6,3.7,0.0
Water Engineering and Management,Upper middle income,U30,6,3.21,3.27,3.5,4.0,0.0,3.5,3.35,3.47,0.0
Gender and Development Studies,Lower middle income,U30,5.6,2.5,3.52,3.61,0.0,0.0,3.25,3.6,0.0,0.0
Agricultural Systems & Engineering,Low income,U30,6.2,3.5,3.9,3.63,0.0,0.0,3.67,3.82,0.0,0.0
Mechatronics,Lower middle income,U30,,3.0,3.55,3.15,3.5,0.0,3.53,3.55,3.51,0.0
Industrial Engineering & Management,Lower middle income,u37,,2.5,2.88,3.13,3.5,0.0,3.23,3.13,3.35,0.0
International Business,Lower middle income,u37,5.4,2.5,3.14,3.57,0.0,0.0,3.42,3.36,0.0,0.0
Microelectronics,Upper middle income,U30,5.5,3.09,3.0,2.88,3.0,0.0,3.2,3.17,3.33,0.0
Agricultural Systems & Engineering,Lower middle income,U44,,3.5,2.63,3.25,3.0,0.0,3.2,3.11,3.37,0.0
Water Engineering and Management,Upper middle income,U30,4.9,2.76,2.92,3.13,3.5,0.0,3.17,3.14,3.45,0.0
Human Resources Management,Lower middle income,U30,,3.5,3.5,3.21,3.57,0.0,3.54,3.54,3.47,0.0
Industrial Engineering & Management,Lower middle income,U30,,3.5,3.63,3.25,3.5,0.0,3.56,3.62,3.66,0.0
Telecommunications,Lower middle income,U30,,3.0,3.5,3.0,3.5,3.0,3.53,3.59,3.54,3.2
Industrial Engineering & Management,Upper middle income,U30,5.4,3.44,3.5,3.88,3.5,0.0,3.52,3.59,3.79,0.0
Information Management,Lower middle income,u37,,2.5,3.0,3.25,3.5,0.0,3.16,3.19,3.46,0.0
Energy,Lower middle income,u37,4.8,3.2,2.5,3.06,2.94,0.0,3.16,3.08,3.3,0.0
Service Marketing and Technology,Upper middle income,U30,5,2.99,3.5,3.57,3.63,0.0,3.47,3.55,3.56,0.0
Geotechnical and Geoenvironmental Engineering,Lower middle income,U30,5.4,2.0,3.19,3.0,0.0,0.0,3.47,3.27,0.0,0.0
International Business,Lower middle income,U30,5.7,4.0,2.86,3.07,3.25,0.0,3.17,3.13,3.32,0.0
Gender and Development Studies,Lower middle income,u37,5.8,4.0,3.81,3.83,0.0,0.0,3.29,3.72,0.0,0.0
Telecommunications,Lower middle income,U30,5.2,3.0,3.25,3.7,4.0,0.0,3.38,3.5,3.67,0.0
International Business - Management of Technology (VN),Lower middle income,U44,,3.5,3.5,3.81,3.54,0.0,3.53,3.61,3.46,0.0
International Business - Management of Technology (VN),Lower middle income,U44,,3.0,3.5,3.69,3.42,0.0,3.51,3.6,3.42,0.0
Geotechnical and Geoenvironmental Engineering,Lower middle income,U30,6,3.5,3.12,3.5,3.5,0.0,3.19,3.19,3.43,0.0
International Business - Management of Technology (VN),Lower middle income,u37,,3.5,4.0,3.56,3.54,0.0,3.49,3.77,3.55,0.0
International Business - Management of Technology (VN),Lower middle income,u37,,2.5,4.0,3.56,3.67,0.0,3.54,3.77,3.52,0.0
Telecommunications,Lower middle income,U30,5.4,3.0,3.5,3.25,4.0,4.0,3.25,3.6,3.64,3.69
Energy,Lower middle income,U30,5.5,4.0,3.38,3.5,3.71,0.0,3.45,3.56,3.52,0.0
Aquaculture and Aquatic Resources Management,Lower middle income,U30,4.5,3.07,3.36,3.79,0.0,0.0,3.54,3.53,0.0,0.0
Microelectronics,Lower middle income,U25,,4.0,3.88,0.0,0.0,0.0,3.63,1.17,0.0,0.0
Environmental Engineering and Management,Lower middle income,u37,,3.0,4.0,0.0,0.0,0.0,3.56,1.17,0.0,0.0
International Business,Low income,U30,6,4.0,3.14,3.4,2.83,0.0,3.22,3.16,3.52,0.0
Mechatronics,Lower middle income,U30,6.5,4.0,3.38,3.5,4.0,0.0,3.25,3.46,3.6,0.0
Structural Engineering,Lower middle income,U30,6.2,4.0,2.75,3.13,0.0,0.0,3.16,3.13,0.0,0.0
Industrial Engineering & Management,Lower middle income,U30,5.5,3.0,3.63,3.25,3.5,0.0,3.49,3.64,3.63,0.0
Telecommunications,Lower middle income,u37,,3.0,2.63,3.5,2.83,3.0,3.16,3.13,3.38,3.2
Structural Engineering,Upper middle income,U30,4.9,2.79,3.13,3.63,0.0,0.0,3.16,3.34,0.0,0.0
Urban Environmental Management,Upper middle income,U30,4.2,3.27,3.39,3.39,0.0,0.0,3.44,3.51,0.0,0.0
Urban Environmental Management,Low income,U30,6,2.04,4.0,3.89,0.0,0.0,3.76,3.86,0.0,0.0
Environmental Engineering and Management,Lower middle income,u37,6,3.9,3.9,3.38,0.0,0.0,3.59,3.8,0.0,0.0
Telecommunications,Upper middle income,U30,5.3,2.62,2.63,3.25,3.0,3.75,3.16,3.13,3.34,3.2
Microelectronics,Upper middle income,u37,,3.08,3.38,3.38,3.5,0.0,3.2,3.52,3.53,0.0
International Business,Lower middle income,u37,7.2,3.0,3.79,3.64,0.0,0.0,3.71,3.67,0.0,0.0
Management of Technology,Low income,U30,6,3.5,3.14,3.21,2.75,0.0,3.21,3.24,3.42,0.0
Management of Technology,Upper middle income,U30,4.8,3.39,3.71,3.79,0.0,0.0,3.65,3.63,0.0,0.0
Aquaculture and Aquatic Resources Management,Lower middle income,u37,6,3.0,3.32,3.46,0.0,0.0,3.54,3.39,0.0,0.0
Agricultural Systems & Engineering,Lower middle income,U30,5.4,3.22,3.25,3.64,0.0,0.0,3.5,3.46,0.0,0.0
Aquaculture and Aquatic Resources Management,Upper middle income,u37,4.8,2.95,3.77,3.19,0.0,0.0,3.31,3.66,0.0,0.0
International Public Management,Lower middle income,U30,,3.0,3.29,3.29,0.0,0.0,3.46,3.32,0.0,0.0
Management of Technology,Lower middle income,U44,,3.5,3.07,3.14,3.67,0.0,3.17,3.3,3.54,0.0
Regional and Rural Development Planning,Lower middle income,u37,4.9,3.0,3.88,3.88,3.75,0.0,3.51,3.72,3.81,0.0
Telecommunications,Lower middle income,u37,5,3.0,2.88,2.88,3.0,3.17,3.16,3.13,3.37,3.2
Energy,Lower middle income,u37,4.5,3.0,3.08,3.21,3.0,0.0,3.21,3.17,3.37,0.0
Regional and Rural Development Planning,Upper middle income,u37,5.1,3.28,2.75,3.27,3.75,0.0,3.16,3.13,3.39,0.0
Pulp and Paper Technology,Lower middle income,U30,4.7,3.0,3.0,2.85,3.0,0.0,3.53,3.17,3.38,0.0
International Business,High income,U25,,2.75,3.13,3.67,0.0,0.0,3.56,3.31,0.0,0.0
ConstructionEngineering and Infrastructure Management,Lower middle income,U30,5.4,2.97,3.38,3.0,0.0,0.0,3.48,3.52,0.0,0.0
Environmental Engineering and Management,Upper middle income,U30,5.9,3.06,3.08,0.0,0.0,0.0,3.46,0.2,0.0,0.0
Mechatronics,Lower middle income,U25,6.6,4.0,3.38,3.17,3.75,0.0,3.6,3.49,3.52,0.0
Telecommunications,Lower middle income,u37,,3.0,2.63,3.0,3.0,2.83,3.16,3.13,3.36,3.2
International Business - Management of Technology (VN),Lower middle income,u37,,3.5,3.17,3.44,3.25,0.0,3.56,3.47,3.37,0.0
Agricultural Systems & Engineering,Upper middle income,U30,4.8,2.75,3.2,3.38,0.0,0.0,3.51,3.28,0.0,0.0
Urban Environmental Management,High income,U30,4.9,3.18,3.54,3.29,0.0,0.0,3.51,3.51,0.0,0.0
International Business,High income,U30,,3.29,3.29,3.38,3.3,0.0,3.49,3.37,3.46,0.0
Natural Resources Management,Lower middle income,u37,5.5,3.5,3.58,3.59,0.0,0.0,3.43,3.63,0.0,0.0
Energy,Lower middle income,u37,5,2.75,2.92,3.0,3.11,0.0,3.16,3.13,3.3,0.0
Food Engineering and Bioprocess Technology,Upper middle income,U30,,2.72,3.75,3.88,0.0,0.0,3.57,3.67,0.0,0.0
Gender and Development Studies,Lower middle income,U30,6,3.0,3.75,3.78,0.0,0.0,3.39,3.67,0.0,0.0
Energy,Lower middle income,u37,5,2.75,2.67,3.06,3.0,0.0,3.16,3.1,3.3,0.0
Urban Environmental Management,Lower middle income,U44,5.2,4.0,2.75,3.39,0.0,0.0,3.3,3.13,0.0,0.0
Urban Environmental Management,Lower middle income,u37,5.7,3.5,3.29,3.46,0.0,0.0,3.24,3.29,0.0,0.0
Regional and Rural Development Planning,Lower middle income,U30,5.5,3.0,3.63,3.77,4.0,0.0,3.45,3.63,3.65,0.0
Environmental Engineering and Management,Lower middle income,U30,6,3.5,3.38,4.0,4.0,0.0,3.61,3.54,3.75,0.0
Regional and Rural Development Planning,Lower middle income,u37,5,3.66,2.75,3.04,3.0,0.0,3.22,3.09,3.37,0.0
International Business,High income,U44,6,3.23,3.6,3.5,3.63,0.0,3.57,3.55,3.51,0.0
Gender and Development Studies,Lower middle income,U30,5,4.0,3.38,3.44,0.0,0.0,3.25,3.46,0.0,0.0
Environmental Engineering and Management,Lower middle income,U30,5,2.76,3.0,2.92,3.5,0.0,3.22,3.05,3.33,0.0
Structural Engineering,Lower middle income,U25,5.6,3.84,3.75,3.75,0.0,0.0,3.59,3.72,0.0,0.0
Structural Engineering,Upper middle income,U25,5.4,2.78,2.75,3.13,0.0,0.0,3.54,3.13,0.0,0.0
Structural Engineering,Lower middle income,U30,5.5,3.58,3.5,3.63,0.0,0.0,3.42,3.6,0.0,0.0
International Business,High income,U30,7,3.0,3.6,3.8,3.63,0.0,3.54,3.54,3.68,0.0
International Business,Upper middle income,U30,5.5,3.43,3.8,3.7,0.0,0.0,3.47,3.69,0.0,0.0
Environmental Engineering and Management,Upper middle income,U25,4.8,3.46,3.5,3.5,3.5,0.0,3.5,3.51,3.73,0.0
Environmental Engineering and Management,Lower middle income,U30,5,2.0,2.5,2.88,3.5,4.0,3.51,3.0,3.3,3.49
Environmental Engineering and Management,Lower middle income,U30,5.4,3.0,4.0,3.9,4.0,0.0,3.55,3.84,3.92,0.0
Geotechnical and Geoenvironmental Engineering,Upper middle income,U30,6,3.34,3.5,3.63,3.5,0.0,3.42,3.57,3.51,0.0
Telecommunications,Lower middle income,U30,5.2,3.5,2.88,3.25,4.0,3.0,3.17,3.13,3.44,3.23
Natural Resources Management,Upper middle income,U30,5.4,3.1,3.5,3.73,0.0,0.0,3.56,3.6,0.0,0.0
Urban Environmental Management,Lower middle income,u37,6,3.5,3.79,3.75,0.0,0.0,3.19,3.69,0.0,0.0
Gender and Development Studies,Lower middle income,U44,4,3.0,2.88,2.94,0.0,0.0,3.16,3.08,0.0,0.0
Food Engineering and Bioprocess Technology,Lower middle income,u37,5.5,3.0,3.38,3.5,0.0,0.0,3.46,3.55,0.0,0.0
International Business,Upper middle income,U30,5.2,3.21,3.1,3.1,4.0,0.0,3.41,3.23,3.52,0.0
Transportation Engineering,Lower middle income,U30,5.5,4.0,4.0,4.0,0.0,0.0,3.34,3.86,0.0,0.0
Geotechnical and Geoenvironmental Engineering,Upper middle income,U30,4.8,3.09,3.38,3.5,0.0,0.0,3.46,3.5,0.0,0.0
Geotechnical and Geoenvironmental Engineering,Upper middle income,U30,5.4,3.28,3.25,3.5,3.5,0.0,3.45,3.46,3.48,0.0
